regime,trace_index,trace_id,profile,model,intervals,events,nll_total,nll_per_interval
high_mobility,17,high_mobility-0017,robust,gru_param_matched,87,50,61.0332636508612,0.7015317661018529
high_mobility,17,high_mobility-0017,robust,constant,87,50,73.73459406739481,0.8475240697401702
high_mobility,18,high_mobility-0018,fast,cfc,88,81,82.54285076002455,0.9379869404548244
high_mobility,18,high_mobility-0018,fast,gru_dt,88,81,72.9663864059711,0.8291634818860352
high_mobility,18,high_mobility-0018,fast,lstm_dt,88,81,75.6885356963329,0.8600969965492375
high_mobility,18,high_mobility-0018,fast,mlp_dt,88,81,75.35398712044736,0.8562953081869018
high_mobility,18,high_mobility-0018,fast,gru_param_matched,88,81,70.72508976616557,0.803694201888245
high_mobility,18,high_mobility-0018,fast,constant,88,81,106.48583647759668,1.2100663236090532
high_mobility,19,high_mobility-0019,robust,cfc,95,58,66.27495691931094,0.6976311254664309
high_mobility,19,high_mobility-0019,robust,gru_dt,95,58,66.5167119883333,0.7001759156666663
high_mobility,19,high_mobility-0019,robust,lstm_dt,95,58,67.24483583949804,0.7078403772578741
high_mobility,19,high_mobility-0019,robust,mlp_dt,95,58,65.58557193207255,0.6903744413902374
high_mobility,19,high_mobility-0019,robust,gru_param_matched,95,58,66.23752843073649,0.6972371413761735
high_mobility,19,high_mobility-0019,robust,constant,95,58,73.65792453289032,0.7753465740304244
high_congestion,0,high_congestion-0000,fast,cfc,86,43,75.13036542503119,0.8736089002910603
high_congestion,0,high_congestion-0000,fast,gru_dt,86,43,73.7336943313733,0.8573685387368989
high_congestion,0,high_congestion-0000,fast,lstm_dt,86,43,72.29165636105579,0.8406006553611138
high_congestion,0,high_congestion-0000,fast,mlp_dt,86,43,77.51304549984542,0.9013144825563421
high_congestion,0,high_congestion-0000,fast,gru_param_matched,86,43,72.81652702710834,0.8467038026407946
high_congestion,0,high_congestion-0000,fast,constant,86,43,105.50110319242985,1.2267570138654633
high_congestion,1,high_congestion-0001,robust,cfc,84,35,51.22996348005729,0.6098805176197297
high_congestion,1,high_congestion-0001,robust,gru_dt,84,35,50.38485283334749,0.59981967658747
high_congestion,1,high_congestion-0001,robust,lstm_dt,84,35,53.10193922792509,0.6321659431895844
high_congestion,1,high_congestion-0001,robust,mlp_dt,84,35,59.54702889227443,0.7088932010985052
