policy,replicate,seed,events,final_time,state_hash,generated,generated_critical,generated_background,delivered,delivered_critical,delivered_background,timely,timely_critical,timely_background,generated_utility,delivered_utility,timely_semantic_utility,energy,bytes_delivered,reroutes,handovers,mean_latency,max_queued,max_inflight,final_queued,final_inflight,critical_success_rate,background_success_rate,timely_task_rate,goal_utility_ratio,semantic_efficiency
throughput,4,11986166472657500349,410,60.0,a19521e1646ddaca81f0e5f6211be83d9ae2ba94247b7243767054e1edd710cc,131,49,82,131,49,82,113,36,77,63.75999999999998,56.859220000000015,44.30844000000005,323.26000000000016,295.0,1,12,1.7649801417078843,23,9,0,0,0.7346938775510204,0.9390243902439024,0.8625954198473282,0.6949253450439157,0.1370674998453258
throughput,5,10581747269026518101,445,60.0,312c93acd77338681f1999042742e8fbf21b0ad7aeff3752b9ab9e5408166846,142,48,94,142,48,94,136,45,91,64.92000000000002,58.09432000000006,54.79436000000005,359.8800000000001,330.0,2,12,1.0933069063004583,13,9,0,0,0.9375,0.9680851063829788,0.9577464788732394,0.8440289587184233,0.1522573079915528
throughput,6,16196392786833377876,439,60.0,42a15a9578b4d524566b2097775dd0ab9a11e76a540db9d6a4396adc06e26aeb,143,37,106,143,37,106,128,31,97,56.07999999999998,50.501784,43.235596000000015,387.4000000000002,355.0,1,5,1.739810006104519,14,9,0,0,0.8378378378378378,0.9150943396226416,0.8951048951048951,0.7709628388017125,0.1116045327826535
throughput,7,17534945296664351195,399,60.0,c75b72ceb79a2ccb48342f48899b2cc1886bdb6dd7fd3d6aed657c36dc5dedb7,127,45,82,127,45,82,124,43,81,59.759999999999984,53.31291600000002,51.370536000000016,318.00000000000017,291.0,1,13,0.7908668072248731,6,9,0,0,0.9555555555555556,0.9878048780487804,0.9763779527559056,0.8596140562249001,0.1615425660377358
throughput,8,7721524649270048244,444,60.0,5ab47a1af0b37db4055ac5d78b5834964a1423d248bc111fb7ee2cc1b9e07d1c,144,43,101,144,43,101,129,39,90,61.17999999999997,53.44087199999995,47.898647999999966,377.3200000000003,346.0,0,9,1.710562899031683,13,9,0,0,0.9069767441860463,0.8910891089108911,0.8958333333333334,0.7829135011441646,0.1269443655252834
throughput,9,12146459574082073627,373,60.0,9bd6c83c167f42eee22802a01a14ef23130afc5027bf87718eb9eb7d7862328f,119,35,84,119,35,84,107,26,81,50.119999999999976,45.05507600000001,36.69441200000003,314.36000000000007,287.0,0,13,1.443494594620086,9,8,0,0,0.7428571428571429,0.9642857142857144,0.8991596638655462,0.7321311252992826,0.1167273571701234
throughput,10,17284053281970983378,376,60.0,8ac2e9ce37fe6d98503dc1c2fc93338e4802559036b1fcddd555d5154a498b40,120,45,75,120,45,75,114,40,74,58.49999999999998,52.285928000000006,47.425728000000014,297.5400000000001,270.0,1,11,1.1088659103257583,7,7,0,0,0.8888888888888888,0.9866666666666668,0.95,0.8106962051282056,0.1593927808025811
throughput,11,7072431907313911855,437,60.0,be8f7cecbca561777d07dfaaa7914eb2f6cc59cbe4d2b2ac4827ce6103f2f8fd,142,42,100,142,42,100,139,40,99,59.99999999999998,53.89512800000001,51.875024,371.3400000000002,342.0,0,8,0.9861024028024744,7,8,0,0,0.9523809523809524,0.99,0.9788732394366196,0.8645837333333337,0.1396968384768674
throughput,12,3070316127303719649,464,60.0,9e3edefda7fb552efc24ee8a948821f0c8fe5848336897136d4b9d61855f8980,149,42,107,149,42,107,148,41,107,61.25999999999997,54.489843999999984,53.49984399999998,398.4600000000004,363.0,0,14,0.7599548973422637,5,6,0,0,0.9761904761904762,1.0,0.9932885906040269,0.8733242572641203,0.1342665361642321
throughput,13,3768509306115833742,486,60.0,3324d754e7e8b4fc2486968c9436cca3f8227047df864523a1f708692adccbea,154,51,103,154,51,103,151,48,103,69.54000000000008,62.234432,59.561432,395.2800000000004,360.0,3,15,0.8998150075715636,5,9,0,0,0.9411764705882352,1.0,0.9805194805194806,0.8565060684498121,0.1506816231532077
